"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
5434,1,21454,"SUPPL",8,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/021454s008ltr.pdf","2009-10-26 00:00:00",
15514,2,21454,"SUPPL",8,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021454s008lbl.pdf","2009-10-01 00:00:00",
27836,1,21454,"SUPPL",14,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021454s014ltr.pdf","2011-11-28 00:00:00",
36979,2,21454,"SUPPL",14,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021454s014lbl.pdf","2011-11-30 00:00:00",
27837,1,21454,"SUPPL",16,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021454Orig1s016ltr.pdf","2013-09-04 00:00:00",
36980,2,21454,"SUPPL",16,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021454s016lbl.pdf","2013-09-09 00:00:00",
27838,1,21454,"SUPPL",20,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/021454Orig1s020ltr.pdf","2014-05-06 00:00:00",
15515,2,21454,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021454s021lbl.pdf","2014-06-23 00:00:00",
27839,1,21454,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/021454Orig1s021ltr.pdf","2014-06-23 00:00:00",
5435,1,21454,"SUPPL",23,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/021454Orig1s023ltr.pdf","2015-05-12 00:00:00",
15516,2,21454,"SUPPL",23,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021454s023lbl.pdf","2015-05-13 00:00:00",
45673,1,21454,"SUPPL",24,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/021454Orig1s024ltr.pdf","2016-10-27 00:00:00",
45747,2,21454,"SUPPL",24,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021454s024lbl.pdf","2016-11-01 00:00:00",
5436,1,21455,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/21455ltr.pdf","2003-06-08 00:00:00",
5437,1,21455,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/21455s001ltr.pdf","2005-03-28 00:00:00",
15517,2,21455,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21455_boniva_lbl.pdf","2003-05-29 00:00:00",
15518,2,21455,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021455s001lbl.pdf","2005-03-25 00:00:00",
23072,6,21455,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021455s001ppi.pdf","2005-03-25 00:00:00",
42176,3,21455,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-455_Boniva.cfm","2003-07-02 00:00:00",
44125,10,21455,"ORIG",1,"0","http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm101551.htm","2003-12-09 00:00:00",
5438,1,21455,"SUPPL",3,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021455s003LTR.pdf","2006-06-20 00:00:00",
15519,2,21455,"SUPPL",5,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/021455s005lbl.pdf","2007-02-21 00:00:00",
27840,1,21455,"SUPPL",5,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/021455s005ltr.pdf","2007-02-23 00:00:00",
27841,1,21455,"SUPPL",7,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/021455s007ltr.pdf","2008-11-28 00:00:00",
42177,3,21455,"SUPPL",7,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/021455Orig1s007.pdf","2015-03-11 00:00:00",
5439,1,21455,"SUPPL",9,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/021455s009ltr.pdf","2010-01-15 00:00:00",
